timestamp,armW,memW,g3dW,kfcW,dumb
1462358072,0.599527,0.150250,0.091405,0.017192,
1462358073,1.154896,0.137028,0.073305,0.017192,
1462358073,1.204065,0.150250,0.068628,0.017192,
1462358073,0.160336,0.129816,0.097740,0.017192,
1462358073,0.008199,0.117796,0.042535,0.115808,
1462358074,0.008199,0.100968,0.020815,0.093555,
1462358074,0.630500,0.112988,0.002718,0.169904,
1462358074,0.765700,0.105776,0.002718,0.017192,
1462358075,0.550050,0.096160,0.002718,0.017192,
1462358075,0.591247,0.094958,0.002718,0.017192,
1462358075,1.578500,0.098564,0.002718,0.017192,
1462358075,1.624010,0.094958,0.002715,0.017192,
1462358076,0.880596,0.096160,0.002718,0.017192,
1462358076,0.393638,0.097362,0.002718,0.017220,
1462358076,0.670476,0.111786,0.002718,0.017192,
1462358077,0.068625,0.097362,0.021720,0.017192,
1462358077,1.311396,0.117796,0.002715,0.103776,
1462358077,1.093184,0.163472,0.112220,0.017192,
1462358077,1.999060,0.131018,0.077830,0.017192,
1462358078,0.303360,0.126210,0.039820,0.017192,
1462358078,0.516936,0.108180,0.045250,0.137228,
1462358078,1.150305,0.115392,0.002715,0.017192,
1462358079,0.645150,0.112988,0.002718,0.017192,
1462358079,0.807462,0.126210,0.002715,0.017192,
1462358079,0.658665,0.105776,0.002718,0.017192,
1462358079,0.809325,0.120200,0.021720,0.017192,
1462358080,1.245614,0.120200,0.093215,0.017192,
1462358080,0.546702,0.126210,0.055205,0.017192,
1462358080,1.008000,0.110584,0.030770,0.017192,
1462358081,0.477989,0.114190,0.062445,0.017192,
1462358081,0.079170,0.117796,0.103170,0.017192,
1462358081,0.008199,0.117796,0.063350,0.031185,
1462358081,0.008199,0.088948,0.002715,0.016065,
1462358082,1.162106,0.111786,0.020815,0.085400,
1462358082,0.141050,0.125008,0.086880,0.018420,
1462358082,0.008199,0.106978,0.041630,0.038221,
1462358083,0.008199,0.088948,0.002715,0.013230,
1462358083,0.008199,0.091352,0.002715,0.014175,
1462358083,0.153120,0.108180,0.001812,0.049764,
1462358083,0.851472,0.121402,0.002715,0.129577,
1462358084,1.597975,0.121402,0.037105,0.017192,
1462358084,0.933422,0.151452,0.100455,0.017192,
1462358084,0.571900,0.120200,0.049775,0.017192,
1462358085,1.178867,0.141836,0.101360,0.017192,
1462358085,0.686599,0.126210,0.071337,0.017192,
1462358085,1.035300,0.121402,0.027180,0.017192,
1462358085,0.093833,0.129816,0.121270,0.028944,
1462358086,0.962954,0.116594,0.019910,0.171054,
1462358086,0.720192,0.112988,0.002718,0.017192,
1462358086,0.578550,0.100968,0.002718,0.017192,
1462358087,0.350047,0.104574,0.028055,0.017192,
1462358087,0.634040,0.143038,0.074046,0.146965,
1462358087,0.913795,0.118998,0.055205,0.055350,
1462358087,0.693823,0.108180,0.002718,0.017192,
1462358088,0.065178,0.094958,0.002718,0.017192,
1462358088,0.785460,0.115392,0.002718,0.158043,
1462358088,0.273300,0.127412,0.067044,0.017192,
1462358089,0.008199,0.103372,0.083260,0.038052,
1462358089,0.008199,0.090150,0.002715,0.014175,
1462358089,0.008199,0.094958,0.002715,0.012285,
1462358090,0.631800,0.128614,0.002715,0.127568,
1462358090,0.793983,0.134624,0.022625,0.017192,
1462358090,1.315852,0.134624,0.112220,0.017192,
1462358090,0.291096,0.112988,0.033485,0.017192,
1462358091,1.003428,0.133422,0.047965,0.083708,
